tg_id,tg_user_name,group_link,message_link,text_message
1043614901,Phuket_rent_car_777,https://t.me/Baraholka_Phuket_ru,https://t.me/Baraholka_Phuket_ru/92056,"📌
   🔤🔤🔤🔤🔤🔤🔤7️⃣7️⃣7️⃣
                                🏝️ Co.,Ltd."" 🌴

        ➡БЕЗ❗️ПОСРЕДНИКОВ 😎
       🏖️Предлагает авто🛞из собственного💯автопарка, сроком от 3 суток до 12 месяцев‼️
    
              На острове🌴ПХУКЕТ🏝️

✔️ MG 5 (люк)2023г-1сут/530₿ 1мес/15'500₿ 🔝

✔️ MG 3 Хэтчбек 2022г-1сут/390₿ 1мес/11'700₿

✔️ Mazda 2 sport Седан 2022г-1сут/430₿ 1мес/12'900₿ 🔝

✔️ Nissan Almera 2014г-1сут/330₿ 1мес/9'700₿

✔️ Тoyota yaris Седан 2021г-1сут/390₿ 1мес/11'700₿

✔️ Тoyota yaris Седан 2022г-1сут/430₿ 1мес/12'900₿

✔️ Тoyota yaris Хэтчбек 2022г-1сут/430₿ 1мес/12'900₿ 🔝

✔️ MG 5 2022г-1сут/496₿ 1мес/14'500₿

✔️ MG 5 (люк)2022г-1сут/530₿ 1мес/15'500₿ 🔝

✔️ MG ZS 2022г-1сут/496₿ 1мес/16’500₿

✔️ MG ZS (панорама) 2022г-1сут/516₿ 1мес/16'500₿ 🔝

✔️ MG НS 2022г-1сут/566₿ 1мес/17'000₿

💯Самые выгодные годовые🔥контракты у нас⚠️

🎁Имеются скидки и акции🔥

📎БЕСПЛАТНАЯ 📍доставка по острову Пхукет при аренде на срок более 30 дней❗️
📎БЕСПЛАТНО💥детские кресла или бустеры❗️
📎БЕСПЛАТНО💥гайд по лучшим локациям 🇹🇭 Пхукета❗️

                     😎 Примем; 🤑

🟩 🟨 🟦 🟪 🔹 🟧Баты❗️

💸💸💸💸 💸 💸 💸Рублями на 💳

🇺🇸🇪🇺Доллары/евро❗️

💸💸Монеты USDT/сеть TRC20❗️

✅Официальный договор, страховка первый класс, бизнес класс ❗️

⚡️ Новые автомобили 😎
🏝 Доставка по острову❗️
📞 Поддержка 24/7❗️
🛞 Выезд на место ДТП ⚠️

✍️ По вопросам бронирования оброщаться:📞

📱 Наш WhatsApp ‼️

📱 Наш Telegram  ✔️

📱 Наш Instagram 😎

📱 Наш Facebook 🎱

📎 Наш каталог авто: 🔥
       
📱 Наш Line 🍉

☎️ Наш Phone: +66931616990"
1043614901,Phuket_rent_car_777,https://t.me/phuket_buy_sell,https://t.me/phuket_buy_sell/231416,"📌
   🔤🔤🔤🔤🔤🔤🔤7️⃣7️⃣7️⃣
                                🏝️ Co.,Ltd."" 🌴

        ➡БЕЗ❗️ПОСРЕДНИКОВ 😎
       🏖️Предлагает авто🛞из собственного💯автопарка, сроком от 3 суток до 12 месяцев‼️
    
              На острове🌴ПХУКЕТ🏝️

✔️ MG 5 (люк)2023г-1сут/530₿ 1мес/15'500₿ 🔝

✔️ MG 3 Хэтчбек 2022г-1сут/390₿ 1мес/11'700₿

✔️ Mazda 2 sport Седан 2022г-1сут/430₿ 1мес/12'900₿ 🔝

✔️ Nissan Almera 2014г-1сут/330₿ 1мес/9'700₿

✔️ Тoyota yaris Седан 2021г-1сут/390₿ 1мес/11'700₿

✔️ Тoyota yaris Седан 2022г-1сут/430₿ 1мес/12'900₿

✔️ Тoyota yaris Хэтчбек 2022г-1сут/430₿ 1мес/12'900₿ 🔝

✔️ MG 5 2022г-1сут/496₿ 1мес/14'500₿

✔️ MG 5 (люк)2022г-1сут/530₿ 1мес/15'500₿ 🔝

✔️ MG ZS 2022г-1сут/496₿ 1мес/16’500₿

✔️ MG ZS (панорама) 2022г-1сут/516₿ 1мес/16'500₿ 🔝

✔️ MG НS 2022г-1сут/566₿ 1мес/17'000₿

💯Самые выгодные годовые🔥контракты у нас⚠️

🎁Имеются скидки и акции🔥

📎БЕСПЛАТНАЯ 📍доставка по острову Пхукет при аренде на срок более 30 дней❗️
📎БЕСПЛАТНО💥детские кресла или бустеры❗️
📎БЕСПЛАТНО💥гайд по лучшим локациям 🇹🇭 Пхукета❗️

                     😎 Примем; 🤑

🟩 🟨 🟦 🟪 🔹 🟧Баты❗️

💸💸💸💸 💸 💸 💸Рублями на 💳

🇺🇸🇪🇺Доллары/евро❗️

💸💸Монеты USDT/сеть TRC20❗️

✅Официальный договор, страховка первый класс, бизнес класс ❗️

⚡️ Новые автомобили 😎
🏝 Доставка по острову❗️
📞 Поддержка 24/7❗️
🛞 Выезд на место ДТП ⚠️

✍️ По вопросам бронирования оброщаться:📞

📱 Наш WhatsApp ‼️

📱 Наш Telegram  ✔️

📱 Наш Instagram 😎

📱 Наш Facebook 🎱

📎 Наш каталог авто: 🔥
       
📱 Наш Line 🍉

☎️ Наш Phone: +66931616990"
504977752,kate169,https://t.me/Baraholka_Phuket_ru,https://t.me/Baraholka_Phuket_ru/92057,"Вилла новая с бассейном
в Aileen Villas Phase 2
вид на джунгли
новый комплекс из 17 вилл

1 спальня
1 ванная
60 м2
150 м2 площадь застройки с кладовой и бассейном
272 м2 площадь участка

2,5 км до пляжа Най Тон
рядом с национальным парком

7,900,000 бат
лизхoлд, можно во фрихолд

Для связи @kate169
https://t.me/rentvillasphuket"
504977752,kate169,https://t.me/phuket_buy_sell,https://t.me/phuket_buy_sell/231418,"Вилла новая с бассейном
в Aileen Villas Phase 2
вид на джунгли
новый комплекс из 17 вилл

1 спальня
1 ванная
60 м2
150 м2 площадь застройки с кладовой и бассейном
272 м2 площадь участка

2,5 км до пляжа Най Тон
рядом с национальным парком

7,900,000 бат
лизхoлд, можно во фрихолд

Для связи @kate169
https://t.me/rentvillasphuket"
213129255,yulia_sinelshchikova,https://t.me/thetitlenaiyang,https://t.me/thetitlenaiyang/37984,Видимо во всем районе. У наших знакомых в доме неподалеку тоже нет
6815171078,mov1van,https://t.me/phuket_buy_sell,https://t.me/phuket_buy_sell/231429,"Если ищете видео оператора на Пхукете, пишите🤘"
6106775721,phuketsoul,https://t.me/phuket_buy_sell,https://t.me/phuket_buy_sell/231430,"Продажа от собственника:
BOTANICA MODERN LOFT ll

📍Самый престижный район Пхукета, Банг Тао📍
• площадь земли 440 кв м
• площадь дома 289 кв м
• личная парковка
• большой бассейн и сад
• 3 спальни

Стоимость: 23.500.00 бат

Благодаря расположению, рядом есть всё необходимое:
🏖️ пляж береговой линии Laguna с развитой инфраструктурой
🛍️крупный торговый квартал Boat Avenue с множеством магазинов, ресторанов и рынком выходного дня
🌴Layan Beach, являющийся территорией национального заповедника с красивейшими укромными пляжами
🏄🏻‍♂️тематический парк активных развлечений Blue Tree
📚 международная школа HeadStart

Подробнее в личные сообщения"
7074343286,realestatephuketisland,https://t.me/phuket_buy_sell,https://t.me/phuket_buy_sell/231434,"🏄‍♀️ Продаётся студия рядом с пляжем Сурин, идеально подходит под получение дохода от аренды!

Цена: ฿2 900 000,00 (₽7 000 000, $79 250*)

Площадь: 27м/кв. Этаж: 6

Расположение:
https://maps.app.goo.gl/hH2jpwhH63qywxKEA 🗺                       

🏝Вблизи пляж Сурин (10 минут пешком)

🏞Форма владения - лизхолд 

Основные преимущества:

✅ Популярный район на Пхукете 
✅ Пляж в пешей доступности
✅ Комфортный комплекс      

🪩На территории: ресепшен, фитнес-центр, бассейны, бесплатная частная парковка, круглосуточная  охрана (вход по электронным картам), сад, терраса

🏝Студия оборудована всем необходимым для комфортного проживания 2 - 3 -ех человек

💰Позвоните и я организую онлайн показ. Квартиру можно приобрести дистанционно. Помогу сдать в аренду и управлять квартирой 

🪩Есть другие варианты по острову. Напишите или позвоните чтобы узнать подробности

Для консультации по квартире и записи на просмотр (возможен онлайн показ), обращайтесь:

📞 +66990927448

* уточняйте цены (₽ и $) на текущую дату."
7074343286,realestatephuketisland,https://t.me/Baraholka_Phuket_ru,https://t.me/Baraholka_Phuket_ru/92070,"🎯 Просторная квартира в одном из самых популярных комплексов на юге Пхукета 

Цена: ฿3 300 000,00 (₽7 900 000, $89 900*) 

Пложадь: 36м/кв. Этаж: 2

Расположение:
https://maps.app.goo.gl/KD8g461Ca29cTc5w8 🗺

🏝В пешей доступности один из самых красивых пляжей Найхарн и озера с прогулочными зонами. 

🏞Рядом вся инфраструктура в виде ресторанов, магазинов, детских площадок.

Основные преимущества: 

✅ Удобное расположение на острове 
✅ Рядом озеро и пляж 
✅ Выделенное место под парковку 

💰Квартира легко сдавать как на короткий, так и на длинный срок, что позволяет совмещать получение дохода с личным отпуском на острове 

🥇Все документы подготовлены к продаже, напишите мне или позвоните и я организую просмотр. Могу сделать дистанционный показ.

💰Так же квартиру можно купить дистанционно и сразу сдать в аренду. Предложение выгодное, успейте купить. 

Для консультации по квартире и записи на просмотр (возможен онлайн показ), обращайтесь:

📞 +66990927448

* уточняйте цены (₽ и $) на текущую дату."
177218596,AlexeyMoscow,https://t.me/phuket_buy_sell,https://t.me/phuket_buy_sell/231435,"🅰️🔠🔠🔠🔠🅰️

    ⚡️  БОЛЕЕ 1️⃣0️⃣0️⃣ МОДЕЛЕЙ ⚡️ 

✔️СОБСТВЕННЫЙ ФЛОТ. НЕ АГЕНТСТВО. 

🚘 АВТОМОБИЛИ
🏍 МОТОЦИКЛЫ
🛵  СКУТЕРЫ
🛻  КАБРИОЛЕТЫ 
🏎 АВТОМОБИЛИ премиум класса

⚡️ Доступны для аренды и бронирования. От 1 дня до года.

✈️ Доставка до клиента. 

⚠️Есть шлема, экипировка, защита, детские кресла. Официальный контракт. Помощь в чрезвычайных ситуациях, страховка включая медицинскую. 

💲 Стоимость зависит от срока аренды и дат.  Все подробности в ЛС. 

🤑Оплата возможна в Батах, Рублях, USD, Tether и т.п. по выгодному курсу. 

✔️Приоритетом компании Kokon Car является безопасность! Только новая, обслуженая у дилера техника. 

Ducati Monster,  Diavel, Hypermotard, Honda CB 650 R, CBR 650 RR, CB 150 R, REBEL, X ADV, Kawasaki VULKAN, Yamaha XSR 155, 700, 900, MT, NIKEN, TRACER, GRAND FILANO, KTM, Suzuki,  Harley Devidson Sportster S, HD Road King, BreakOut, Boulevard,  Royal Enfield, X ADV, Triumph Bobber, Trident, 
HAVAL, MERCEDES,  BMW,  GWM, FORD, HUNDAI STARIA, TOYOTA 
И много других моделей

💬Контакт для связи:

@AlexeyMoscow (Telegram)

+79037965656 (WhatsApp)

Каталог с ценами:

https://www.kokoncar.com/ru

https://wa.me/c/79037965656"
